"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 04 19:06:38 MSK 2023","Wed Oct 04 19:06:38 MSK 2023","839","tests","test_pages","","","","Check elements on Register Page",""
"passed","Wed Oct 04 19:05:44 MSK 2023","Wed Oct 04 19:05:45 MSK 2023","592","tests","test_pages","","","","Check count of navbar items on main page",""
"passed","Wed Oct 04 19:06:49 MSK 2023","Wed Oct 04 19:06:50 MSK 2023","511","tests","test_pages","","","","Check elements on CatalogPage",""
"broken","Wed Oct 04 19:06:30 MSK 2023","Wed Oct 04 19:06:33 MSK 2023","3451","tests","test_pages","","","","Check elements on Admin Login Page",""
"passed","Wed Oct 04 19:05:22 MSK 2023","Wed Oct 04 19:05:29 MSK 2023","6269","tests","test_pages","","","","Check logos on slider on main page",""
"passed","Wed Oct 04 19:06:43 MSK 2023","Wed Oct 04 19:06:44 MSK 2023","562","tests","test_pages","","","","Check elements on CatalogPage",""
"passed","Wed Oct 04 19:06:01 MSK 2023","Wed Oct 04 19:06:02 MSK 2023","525","tests","test_pages","","","","Check elements on Product Pages: {ProductPage.PRODUCTS_PAGE_URL}",""
"passed","Wed Oct 04 19:06:12 MSK 2023","Wed Oct 04 19:06:13 MSK 2023","484","tests","test_pages","","","","Check breadcrumbs of different products in pages:['en-gb/product/desktops/mac/imac', 'en-gb/product/iphone']",""
"passed","Wed Oct 04 19:05:56 MSK 2023","Wed Oct 04 19:05:56 MSK 2023","567","tests","test_pages","","","","Check elements on Product Pages: {ProductPage.PRODUCTS_PAGE_URL}",""
"passed","Wed Oct 04 19:06:18 MSK 2023","Wed Oct 04 19:06:19 MSK 2023","750","tests","test_pages","","","","Add to a cart different products in pages:['en-gb/product/desktops/mac/imac', 'en-gb/product/iphone']",""
"broken","Wed Oct 04 19:05:33 MSK 2023","Wed Oct 04 19:05:34 MSK 2023","373","tests","test_pages","","","","Check logos on slider on main page",""
"passed","Wed Oct 04 19:05:50 MSK 2023","Wed Oct 04 19:05:50 MSK 2023","554","tests","test_pages","","","","Check count of featured items on main page",""
"passed","Wed Oct 04 19:06:07 MSK 2023","Wed Oct 04 19:06:08 MSK 2023","571","tests","test_pages","","","","Check breadcrumbs of different products in pages:['en-gb/product/desktops/mac/imac', 'en-gb/product/iphone']",""
"passed","Wed Oct 04 19:05:39 MSK 2023","Wed Oct 04 19:05:39 MSK 2023","498","tests","test_pages","","","","Check logos on slider on main page",""
"passed","Wed Oct 04 19:06:24 MSK 2023","Wed Oct 04 19:06:24 MSK 2023","710","tests","test_pages","","","","Add to a cart different products in pages:['en-gb/product/desktops/mac/imac', 'en-gb/product/iphone']",""
"passed","Wed Oct 04 19:05:06 MSK 2023","Wed Oct 04 19:05:07 MSK 2023","641","tests","test_pages","","","","Check elements on Main Page",""
"passed","Wed Oct 04 19:05:12 MSK 2023","Wed Oct 04 19:05:18 MSK 2023","6212","tests","test_pages","","","","Check logos on slider on main page",""
